time,low,high,open,close,volume
8/10/15,263.17,268.89,267.6,265.15,5478.582149
8/11/15,264.91,271.99,265.15,271.99,5796.144793
8/12/15,265.79,272.4,271.99,266.94,6350.256019
8/13/15,262.94,267.82,266.81,264.67,5343.423018
8/14/15,262.5,267.98,264.48,266.17,6859.07697
8/15/15,261.77,267.69,266.21,262.46,4116.06182
8/16/15,255.67,263.1,262.45,259.2,5493.637488
8/17/15,255.58,261.57,259.2,257.31,6966.279596
8/18/15,200,258.04,257.56,221.99,11541.0643
8/19/15,214.91,238.99,221.99,227.34,13329.69034
8/20/15,227.45,238.2,227.46,235.56,8819.525082
8/21/15,231.15,236.99,235.56,232.85,8327.534676
8/22/15,222.68,235.53,232.85,231.15,7197.259489
8/23/15,226.15,233.25,231.16,229.21,4312.61769
8/24/15,210,229.24,229.23,211.16,16523.77944
8/25/15,198.02,229.49,211.16,223.73,19685.20578
8/26/15,220.16,231.97,223.73,226.81,9756.262621
8/27/15,224,229.99,226.72,225.8,7891.14647
8/28/15,221.2,236.18,225.62,231.55,9155.348865
8/29/15,228,233.95,231.55,230.61,4469.251131
8/30/15,226.59,233.47,230.61,229.39,4975.990742
8/31/15,225.23,233,229.4,230.75,6986.515719
9/1/15,226.42,233.5,230.76,228.22,8595.949773
9/2/15,226.43,231.43,228.22,229.97,7461.084198
9/3/15,226.48,230.79,229.95,227.25,6668.258625
9/4/15,227.24,232.49,227.24,231.39,7070.54636
9/5/15,230.12,237.24,231.43,236.01,5615.319754
9/6/15,235.54,244.82,236.2,241.29,5273.539693
9/7/15,239.21,242.98,241.26,241.31,4902.581161
9/8/15,240.31,247.82,241.31,244.14,8296.953855
9/9/15,238.6,244.69,244.24,238.75,6819.436268
9/10/15,236.69,241.4,238.74,238.52,5811.401953
9/11/15,238.5,241.54,238.55,240.9,5856.642801
9/12/15,235.26,241.12,240.9,236.5,5480.204714
9/13/15,229.72,236.91,236.5,230.82,5004.429976
9/14/15,228.01,233.99,230.83,231.01,7984.562513
9/15/15,230.26,232.43,231.02,230.6,7118.307926
9/16/15,226.85,232,230.67,229.73,7655.652988
9/17/15,229.01,235.93,229.72,233.34,7527.998306
9/18/15,231.75,234.96,233.31,233.78,4688.450795
9/19/15,232,234.31,233.78,232.88,3604.571903
9/20/15,231.84,234,232.88,232.24,3683.553989
9/21/15,226.87,233.64,232.26,227.31,7599.804816
9/22/15,224.45,232.5,227.31,231.28,8900.966602
9/23/15,229.27,233,231.31,230.26,6357.676049
9/24/15,230.09,235.99,230.26,235.27,9375.094142
9/25/15,234.02,237.62,235.35,235.89,6186.862838
9/26/15,233.5,236.2,235.88,234.69,4167.952469
9/27/15,233.2,235.03,234.67,233.58,3302.854502
9/28/15,233.53,240.52,233.53,239.99,8114.322178
